key,value
type,bacteria
x,4163.036147988196
y,1586.2361557730183
r,9.0
angle,-0.7700486480182434
vx,201.6615293184409
vy,-195.5638336058393
energy,50.06904186695383
age,52.43516666666673
brain_sizes,"[24, 32, 16, 8, 2]"
brain_version,120
